.FECHA.ID_ESTACION.NOM_ESTACION.ESPECIE.ESPECIE_DES.ALTURA.DAP.TIPO.TIPO_DES.ESTADO.ESTADO_DES
1010.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.18.2.25.3.8.Tronco.6.Vivo
1017.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.29.5.8.Tronco.6.Vivo
1025.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.27.35.8.Tronco.6.Vivo
1039.2000-01-24.45920.Rinconada -3.AG.Avicennia germinans.17.7.36.6.8.Tronco.6.Vivo
1970.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.41.4.8.Tronco.6.Vivo
1971.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.19.0.17.8.8.Tronco.6.Vivo
1973.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.21.0.11.1.8.Tronco.6.Vivo
1978.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.33.5.8.Tronco.6.Vivo
1979.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.14.4.8.Tronco.6.Vivo
1985.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.22.0.13.1.8.Tronco.6.Vivo
1986.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.22.0.15.0.8.Tronco.6.Vivo
1987.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.17.0.15.7.8.Tronco.6.Vivo
1988.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.18.2.8.Tronco.6.Vivo
1999.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.20.0.12.8.8.Tronco.6.Vivo
2001.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.26.0.20.0.8.Tronco.6.Vivo
2010.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.11.3.8.Tronco.6.Vivo
2011.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.25.0.16.5.8.Tronco.6.Vivo
2012.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.23.0.17.3.8.Tronco.6.Vivo
2033.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.23.3.8.Tronco.6.Vivo
2037.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.18.0.18.6.8.Tronco.6.Vivo
2045.2013-05-22.45910.Kilómetro 22 -2.AG.Avicennia germinans.25.0.21.1.8.Tronco.6.Vivo
2175.2006-03-01.45912.Kilómetro 22 -3.AG.Avicennia germinans.32.7.27.8.8.Tronco.6.Vivo
2186.2006-03-01.45912.Kilómetro 22 -3.AG.Avicennia germinans.19.5.8.9.8.Tronco.6.Vivo
2187.2006-03-01.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.7.10.7.8.Tronco.6.Vivo
2188.2006-03-01.45912.Kilómetro 22 -3.AG.Avicennia germinans.27.7.14.4.8.Tronco.6.Vivo
2204.2006-03-01.45912.Kilómetro 22 -3.AG.Avicennia germinans.19.2.10.3.8.Tronco.6.Vivo
2209.2006-03-01.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.34.7.10.9.8.Tronco.6.Vivo
2211.2006-03-01.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.25.7.7.5.8.Tronco.6.Vivo
2212.2006-03-01.45912.Kilómetro 22 -3.LR.Laguncularia racemosa.23.2.10.4.8.Tronco.6.Vivo
2219.2006-03-01.45912.Kilómetro 22 -3.AG.Avicennia germinans.26.7.15.6.8.Tronco.6.Vivo
2220.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.24.0.30.0.8.Tronco.6.Vivo
2221.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.21.0.33.5.8.Tronco.6.Vivo
2222.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.28.1.8.Tronco.6.Vivo
2226.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.23.0.37.4.8.Tronco.6.Vivo
2228.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.24.0.27.7.8.Tronco.6.Vivo
2231.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.24.0.8.Tronco.6.Vivo
2233.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.19.6.8.Tronco.6.Vivo
2237.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.19.0.10.4.7.Rama.6.Vivo
2241.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.26.0.32.6.8.Tronco.6.Vivo
2243.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.26.0.30.3.8.Tronco.6.Vivo
2251.2015-03-04.45912.Kilómetro 22 -3.AG.Avicennia germinans.19.0.20.4.8.Tronco.6.Vivo
2465.2014-02-11.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.25.3.8.Tronco.6.Vivo
2478.2014-02-11.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.15.9.8.Tronco.6.Vivo
2480.2014-02-11.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.12.8.8.Tronco.6.Vivo
2481.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.29.7.8.Tronco.6.Vivo
2482.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.21.0.32.9.8.Tronco.6.Vivo
2483.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.27.4.8.Tronco.6.Vivo
2488.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.22.0.36.8.8.Tronco.6.Vivo
2490.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.25.0.27.6.8.Tronco.6.Vivo
2494.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.23.9.8.Tronco.6.Vivo
2496.2014-02-12.45912.Kilómetro 22 -3.AG.Avicennia germinans.20.0.19.6.8.Tronco.6.Vivo
